,CountryCode,categoryId,channelId,channelTitle,publishedAt,videoId
0,ES,10,UCGIelM2Dj3zza3xyV3pL3WQ,MigosVEVO,02,9v_rtaye2yY
1,ES,24,UC0v-tlzsn0QZwJnkiaUSJVQ,FBE,22,fuHcdFPBKy0
2,ES,24,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,01,vn9mMeWcgoM
3,ES,26,UCjwmbv6NE4mOh8Z8VhPUx1Q,Rosanna Pansino,15,6i2cebTn0nc
4,ES,24,UCSAUGyc_xA8uYzaIVG6MESQ,nigahiga,19,JBDWIGpKnwM
5,ES,24,UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,08,00nmxR1mxIA
6,ES,1,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,19,aj8mN_7Apcw
7,ES,26,UCckETVOT59aYw80B36aP9vw,Matthias Wandel,12,iGXYZwZEZa0
8,ES,24,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,21,QK_iX5cPDhE
9,ES,23,UCQG4cX86zZ51IU2cerZgPSA,Awkward Puppets,17,bo8OYPYRTIY
10,ES,10,UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,05,56KYMMGudcU
11,ES,26,UCG9nVSLp4nQlW79sY5ihRrg,Desi Perkins,01,uwUchGQRXKM
12,ES,23,UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,11,Ub53c95Soqk
13,ES,26,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,16,__4c1JCHvaQ
14,ES,20,UCqDS7KWjAPKv-7ZSlro9OiQ,thegameawards,08,Bs5Ml7_2wT0
15,ES,23,UCVTyTA7-g9nopHeHbeuvpRA,Late Night with Seth Meyers,02,NyNQLRhsAsk
16,ES,24,UCCj956IF62FbT7Gouszaj9w,BBC,18,Zi9MkiQzl20
17,ES,20,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,02,dyBFAX4SDEc
18,ES,24,UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,05,vW7H-DKivX8
19,ES,25,UCLXo7UDZvByw2ixzpQCufnA,Vox,13,EZSCtgfmEO0
20,ES,22,UCay_OLhWtf9iklq8zg_or0g,Boldly,16,H4CkXh3FSo8
21,ES,22,UCrUbqTCagwsaP2Fmr0p1TsA,MoreZoella,16,oXE-ssvbhQA
22,ES,22,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,01,aphpJi5jKrM
23,ES,24,UCucot-Zp428OwkyRm2I7v2Q,James Charles,21,Y26pMy4jf8U
24,ES,25,UCVxBA3Cbu3pm8w8gEIoMEog,ABC7,08,sFMehG2tDcA
25,ES,10,UC3Pa0DVzVkqEN_CwsNMapqg,SamSmithWorldVEVO,00,eYJCjVkOImU
26,ES,24,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,12,jibff9m0SjQ
27,ES,10,UCFbRdRGijPR4oBjQ0fVCSmw,Björk,15,Sqbv7cCM5AI
