,CountryCode,categoryId,channelId,channelTitle,publishedAt,videoId
0,FR,10,UCGIelM2Dj3zza3xyV3pL3WQ,MigosVEVO,02,9v_rtaye2yY
1,FR,24,UC0v-tlzsn0QZwJnkiaUSJVQ,FBE,22,fuHcdFPBKy0
2,FR,24,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,01,vn9mMeWcgoM
3,FR,26,UCjwmbv6NE4mOh8Z8VhPUx1Q,Rosanna Pansino,15,6i2cebTn0nc
4,FR,24,UCSAUGyc_xA8uYzaIVG6MESQ,nigahiga,19,JBDWIGpKnwM
5,FR,24,UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,08,00nmxR1mxIA
6,FR,1,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,19,aj8mN_7Apcw
7,FR,26,UCckETVOT59aYw80B36aP9vw,Matthias Wandel,12,iGXYZwZEZa0
8,FR,24,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,21,QK_iX5cPDhE
9,FR,23,UCQG4cX86zZ51IU2cerZgPSA,Awkward Puppets,17,bo8OYPYRTIY
10,FR,10,UC20vb-R_px4CguHzzBPhoyQ,EminemVEVO,05,56KYMMGudcU
11,FR,26,UCG9nVSLp4nQlW79sY5ihRrg,Desi Perkins,01,uwUchGQRXKM
12,FR,23,UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,11,Ub53c95Soqk
13,FR,26,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,16,__4c1JCHvaQ
14,FR,20,UCqDS7KWjAPKv-7ZSlro9OiQ,thegameawards,08,Bs5Ml7_2wT0
15,FR,23,UCVTyTA7-g9nopHeHbeuvpRA,Late Night with Seth Meyers,02,NyNQLRhsAsk
16,FR,24,UCCj956IF62FbT7Gouszaj9w,BBC,18,Zi9MkiQzl20
17,FR,20,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo,02,dyBFAX4SDEc
18,FR,24,UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,05,vW7H-DKivX8
19,FR,25,UCLXo7UDZvByw2ixzpQCufnA,Vox,13,EZSCtgfmEO0
20,FR,22,UCay_OLhWtf9iklq8zg_or0g,Boldly,16,H4CkXh3FSo8
21,FR,22,UCrUbqTCagwsaP2Fmr0p1TsA,MoreZoella,16,oXE-ssvbhQA
22,FR,22,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,01,aphpJi5jKrM
23,FR,24,UCucot-Zp428OwkyRm2I7v2Q,James Charles,21,Y26pMy4jf8U
24,FR,25,UCVxBA3Cbu3pm8w8gEIoMEog,ABC7,08,sFMehG2tDcA
25,FR,10,UC3Pa0DVzVkqEN_CwsNMapqg,SamSmithWorldVEVO,00,eYJCjVkOImU
26,FR,24,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,12,jibff9m0SjQ
27,FR,10,UCFbRdRGijPR4oBjQ0fVCSmw,Björk,15,Sqbv7cCM5AI
28,FR,10,UCR5BwOS3Gb4uQtxRYRUQ7ng,LouisTomlinsonVEVO,16,inZzcTXYowY
29,FR,1,UC7-E5xhZBZdW-8d7V80mzfg,Jenny Nicholson,13,OVa-sqcDYZ4
30,FR,24,UCR4wTAyVbbX-IiBiGCgIBTg,LIVEKellyandRyan,18,2jhwGiO5XJ8
31,FR,24,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,14,bye513KciIk
32,FR,26,UCGwPbAQdGA3_88WBuGtg9tw,grav3yardgirl,21,fJJBAwiOjRI
33,FR,22,UCe9oofjVfJzapRyVlt57x8Q,Marzia,18,oOAohDViea4
34,FR,1,UCYUQQgogVeQY8cMQamhHJcg,CinemaSins,16,Hlch9lKAeXo
35,FR,24,UCBR8-60-B28hp2BmDPdntcQ,YouTube Spotlight,17,FlsCjmMhFmw
36,FR,27,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,14,kl39KHS07Xc
37,FR,28,UC3KEoMzNz8eYnwBC34RaKCQ,Simone Giertz,19,8mQelXnPxUQ
38,FR,24,UCy6D16zE_mMEm1HVD20WFxA,Watch What Happens Live with Andy Cohen,12,hpvDsw1D29w
39,FR,23,UCWXCrItCF6ZgXrdozUS-Idw,ExplosmEntertainment,06,r8FQ5wUYm9c
40,FR,17,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,00,MtFjRvKfv70
41,FR,24,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,20,iU4J2FF23Do
42,FR,23,UCNyJk0eoESO3CxAmrktAB5w,Whitney Avalon,17,MUB-h2NeQYA
43,FR,20,UCnXDQbqIdp-HQuDyM4p12ng,PLAYERUNKNOWN'S BATTLEGROUNDS,04,6TOSV3-7hzU
44,FR,22,UCHJuQZuzapBh-CuhRYxIZrg,INSIDER,21,RdAKIVgTKuw
45,FR,10,UCjjC1Jk_1o1VWpLalgo21XQ,GEazyMusicVEVO,05,HKIIgYFhQlE
